customer_id,signup_date,country
1001,2025-09-01,United States
1002,2025-06-09,United States
1003,2025-09-19,Germany
1004,2025-10-15,United States
1005,2025-07-17,United States
1006,2025-05-23,United Kingdom
1007,2025-02-19,United States
1008,2025-09-03,United Kingdom
1009,2025-05-23,United Kingdom
1010,2025-10-01,United States
1011,2025-10-01,Germany
1012,2025-06-27,United States
1013,2025-10-25,United States
1014,2025-04-03,United States
1015,2025-10-08,United Kingdom
1016,2025-10-01,Germany
1017,2025-08-12,France
1018,2025-07-07,United Kingdom
1019,2025-10-05,United Kingdom
1020,2025-10-10,United Kingdom
1021,2025-09-13,United States
1022,2025-05-26,United States
1023,2025-03-28,United States
1024,2025-04-07,United States
1025,2025-08-31,United States
1026,2025-07-05,United States
1027,2025-06-07,Australia
1028,2025-09-03,United Kingdom
1029,2025-05-06,Germany
1030,2025-05-04,United States
1031,2025-10-30,United Kingdom
1032,2025-08-16,Germany
1033,2025-10-07,Germany
1034,2025-05-26,United States
1035,2025-06-21,United States
1036,2025-05-20,Australia
1037,2025-10-13,United States
1038,2025-09-04,United States
1039,2025-10-19,United Kingdom
1040,2025-06-06,United States
1041,2025-08-17,United States
1042,2025-08-21,Canada
1043,2025-07-12,United States
1044,2025-11-01,United Kingdom
1045,2025-04-02,United States
1046,2025-04-11,United Kingdom
1047,2025-09-29,United States
1048,2025-03-18,United States
1049,2025-10-31,United Kingdom
1050,2025-10-28,Canada
1051,2025-02-02,Germany
1052,2025-09-09,United Kingdom
1053,2025-06-07,United Kingdom
1054,2025-04-12,United States
1055,2025-07-25,France
1056,2025-10-13,United States
1057,2025-08-04,United States
1058,2025-10-18,Canada
1059,2025-06-16,United Kingdom
1060,2025-08-26,United States
1061,2025-09-23,United Kingdom
1062,2025-09-26,United Kingdom
1063,2025-01-08,United States
1064,2025-02-12,Australia
1065,2025-10-13,Canada
1066,2025-06-18,United States
1067,2025-10-13,Australia
1068,2025-03-31,United Kingdom
1069,2025-03-22,Germany
1070,2025-09-24,United States
1071,2025-07-29,United Kingdom
1072,2025-06-06,Canada
1073,2025-07-18,United States
1074,2025-08-12,Germany
1075,2025-05-17,United States
1076,2025-10-31,United Kingdom
1077,2025-07-21,United Kingdom
1078,2025-04-16,United States
1079,2025-06-27,United Kingdom
1080,2025-05-27,United States
1081,2025-03-23,United Kingdom
1082,2025-05-26,Australia
1083,2025-10-10,United States
1084,2025-05-29,Germany
1085,2025-05-21,United States
1086,2025-10-22,United Kingdom
1087,2025-07-29,Germany
1088,2025-10-01,United States
1089,2025-04-05,United States
1090,2025-07-18,United Kingdom
1091,2025-09-18,Germany
1092,2025-10-30,United States
1093,2025-07-13,United States
1094,2025-10-10,United States
1095,2025-05-13,United States
1096,2025-07-17,United States
1097,2025-06-02,Australia
1098,2025-07-22,Canada
1099,2025-08-14,United States
1100,2025-11-01,Canada
1101,2025-10-27,Australia
1102,2025-10-08,United States
1103,2025-08-01,United States
1104,2025-07-12,United States
1105,2025-07-07,France
1106,2025-06-06,Germany
1107,2025-07-25,United States
1108,2025-10-25,France
1109,2025-08-16,Germany
1110,2025-04-30,United States
1111,2025-10-27,United Kingdom
1112,2025-08-13,Germany
1113,2025-03-14,United Kingdom
1114,2025-08-04,Canada
1115,2025-05-01,France
1116,2025-03-28,United States
1117,2025-08-23,Germany
1118,2025-05-28,United States
1119,2025-10-15,United States
1120,2025-08-23,United Kingdom
1121,2025-07-17,United Kingdom
1122,2025-08-09,Australia
1123,2025-05-18,Germany
1124,2025-05-29,United States
1125,2025-09-07,United States
1126,2025-06-21,Germany
1127,2025-03-24,United Kingdom
1128,2025-11-01,France
1129,2025-03-24,United States
1130,2025-06-06,Australia
1131,2025-10-13,Canada
1132,2025-07-05,United States
1133,2025-10-06,Germany
1134,2025-08-27,France
1135,2025-09-04,United States
1136,2025-10-03,United States
1137,2025-09-06,Australia
1138,2025-04-22,United States
1139,2025-04-10,United Kingdom
1140,2025-06-08,United Kingdom
1141,2025-09-15,United States
1142,2025-08-31,United States
1143,2025-08-01,Australia
1144,2025-10-08,United States
1145,2025-07-18,United States
1146,2025-01-19,Germany
1147,2025-09-01,United States
1148,2025-09-20,United Kingdom
1149,2025-07-19,United States
1150,2025-03-25,Canada
1151,2025-10-17,United Kingdom
1152,2025-10-06,United Kingdom
1153,2025-04-28,United States
1154,2025-06-19,Canada
1155,2025-09-29,Canada
1156,2025-10-16,United States
1157,2025-06-02,United States
1158,2025-09-26,Canada
1159,2025-07-14,United Kingdom
1160,2025-04-30,Australia
1161,2025-10-11,France
1162,2025-10-02,Canada
1163,2025-02-17,Germany
1164,2025-06-25,Australia
1165,2025-09-30,Canada
1166,2025-10-02,United States
1167,2025-09-28,United States
1168,2025-10-12,Canada
1169,2025-05-24,Canada
1170,2025-07-26,United States
1171,2025-09-29,United States
1172,2025-02-16,United States
1173,2025-06-24,Canada
1174,2025-10-27,United States
1175,2025-09-01,United States
1176,2025-10-29,United Kingdom
1177,2025-10-23,United States
1178,2025-10-28,United States
1179,2025-10-26,United States
1180,2025-04-11,United States
1181,2025-09-17,United States
1182,2025-08-26,United Kingdom
1183,2025-07-09,United Kingdom
1184,2025-06-03,Germany
1185,2025-01-13,Australia
1186,2025-08-12,Germany
1187,2025-09-20,Germany
1188,2025-07-03,United States
1189,2025-09-06,United States
1190,2025-06-20,Canada
1191,2025-09-16,United States
1192,2025-06-19,United States
1193,2025-07-13,United States
1194,2025-04-19,United States
1195,2025-10-23,Germany
1196,2025-10-17,United Kingdom
1197,2025-06-17,United Kingdom
1198,2025-01-07,United States
1199,2025-07-19,United Kingdom
1200,2025-09-04,United Kingdom
1201,2025-07-22,United States
1202,2025-07-29,Australia
1203,2025-09-29,United States
1204,2025-03-30,United Kingdom
1205,2025-08-31,United States
1206,2025-10-03,Germany
1207,2025-09-07,United States
1208,2025-05-16,United States
1209,2025-05-31,United Kingdom
1210,2025-10-08,United States
1211,2025-07-16,United Kingdom
1212,2025-05-15,Germany
1213,2025-08-03,United States
1214,2025-09-04,United States
1215,2025-09-21,Germany
1216,2025-04-10,United States
1217,2025-05-08,France
1218,2025-08-08,United States
1219,2025-06-02,Canada
1220,2025-07-25,Canada
1221,2025-09-06,France
1222,2025-08-24,France
1223,2025-10-15,United Kingdom
1224,2025-09-16,United Kingdom
1225,2025-10-05,United Kingdom
1226,2025-10-16,Germany
1227,2025-07-29,United States
1228,2025-06-01,United Kingdom
1229,2025-09-24,United Kingdom
1230,2025-08-30,United States
1231,2025-03-26,United States
1232,2025-06-08,United States
1233,2025-08-12,United States
1234,2025-05-27,Germany
1235,2025-09-13,United States
1236,2025-07-14,United Kingdom
1237,2025-07-16,United States
1238,2025-07-17,Australia
1239,2025-08-21,Germany
1240,2025-10-09,Germany
1241,2025-07-07,United States
1242,2025-06-30,Germany
1243,2025-10-09,France
1244,2025-07-17,Germany
1245,2025-08-14,United Kingdom
1246,2025-05-24,United States
1247,2025-07-21,United States
1248,2025-06-26,Germany
1249,2025-07-13,United States
1250,2025-07-28,United States
1251,2025-08-29,United States
1252,2025-07-11,United Kingdom
1253,2025-02-20,United Kingdom
1254,2025-04-23,United Kingdom
1255,2025-03-10,United States
1256,2025-05-21,United States
1257,2025-09-23,United States
1258,2025-09-22,Canada
1259,2025-06-02,United States
1260,2025-02-12,United Kingdom
1261,2025-11-01,United States
1262,2025-09-03,Germany
1263,2025-09-03,Germany
1264,2025-10-24,United States
1265,2025-02-13,United States
1266,2025-04-19,Germany
1267,2025-08-17,United States
1268,2025-09-12,Germany
1269,2025-05-05,United Kingdom
1270,2025-09-21,United States
1271,2025-10-03,France
1272,2025-04-11,United States
1273,2025-06-20,Germany
1274,2025-10-26,United States
1275,2025-09-15,United States
1276,2025-09-11,United Kingdom
1277,2025-04-08,Germany
1278,2025-10-08,United Kingdom
1279,2025-04-16,France
1280,2025-09-27,United States
1281,2025-07-19,United States
1282,2025-08-05,United States
1283,2025-10-08,Canada
1284,2025-04-09,France
1285,2025-08-31,Canada
1286,2025-09-14,United States
1287,2025-09-18,France
1288,2025-06-08,Canada
1289,2025-08-12,United Kingdom
1290,2025-07-20,Germany
1291,2025-06-07,Canada
1292,2025-10-05,United States
1293,2025-10-13,United States
1294,2025-07-27,United Kingdom
1295,2025-07-07,United States
1296,2025-10-08,United States
1297,2025-05-21,Germany
1298,2025-06-27,Canada
1299,2025-09-13,United States
1300,2025-01-31,Australia
1301,2025-03-31,Germany
1302,2025-08-01,Germany
1303,2025-09-11,United Kingdom
1304,2025-08-02,Germany
1305,2025-04-03,United States
1306,2025-09-11,United States
1307,2025-08-21,United Kingdom
1308,2025-08-10,United States
1309,2025-09-21,United States
1310,2025-09-13,United States
1311,2025-06-02,United States
1312,2025-05-14,United States
1313,2025-08-11,Germany
1314,2025-05-12,United States
1315,2025-07-31,Germany
1316,2025-10-28,United Kingdom
1317,2025-06-12,United States
1318,2025-05-15,United States
1319,2025-05-10,United States
1320,2025-08-11,United States
1321,2025-10-28,United Kingdom
1322,2025-09-12,United States
1323,2025-10-11,United Kingdom
1324,2025-10-12,United Kingdom
1325,2025-07-28,United States
1326,2025-05-11,United States
1327,2025-10-23,United Kingdom
1328,2025-10-04,United States
1329,2025-03-24,United Kingdom
1330,2025-03-12,United States
1331,2025-08-17,United States
1332,2025-10-31,United States
1333,2025-09-24,United Kingdom
1334,2025-09-28,United States
1335,2025-08-09,United Kingdom
1336,2025-07-22,Canada
1337,2025-10-31,United States
1338,2025-08-28,United Kingdom
1339,2025-09-19,Australia
1340,2025-05-19,United States
1341,2025-09-05,United States
1342,2025-05-07,United States
1343,2025-01-16,United Kingdom
1344,2025-08-23,United States
1345,2025-05-27,Germany
1346,2025-09-13,United Kingdom
1347,2025-09-10,Australia
1348,2025-09-28,United Kingdom
1349,2025-09-05,Australia
1350,2025-07-18,United Kingdom
1351,2025-09-03,Australia
1352,2025-10-04,United States
1353,2025-05-05,United States
1354,2025-09-21,United Kingdom
1355,2025-06-13,United States
1356,2025-09-10,Germany
1357,2025-10-23,United Kingdom
1358,2025-08-03,United States
1359,2025-03-02,United States
1360,2025-06-22,United States
1361,2025-04-03,France
1362,2025-10-06,United Kingdom
1363,2025-10-24,France
1364,2025-09-07,United States
1365,2025-03-03,Germany
1366,2025-07-28,Germany
1367,2025-10-19,United States
1368,2025-08-21,United Kingdom
1369,2025-08-02,United States
1370,2025-06-29,United States
