order_id,customer_id,order_date,order_value,status
50001,1001,2025-09-01 00:00:00,102.82,Completed
50002,1002,2025-06-12 00:00:00,159.58,Completed
50003,1002,2025-08-30 00:00:00,58.37,Completed
50004,1003,2025-09-19 00:00:00,48.41,Completed
50005,1003,2025-10-28 00:00:00,116.65,Completed
50006,1004,2025-10-16 00:00:00,29.82,Completed
50007,1005,2025-07-18 00:00:00,145.19,Completed
50008,1005,2025-08-18 00:00:00,271.5,Completed
50009,1005,2025-10-01 00:00:00,157.99,Completed
50010,1005,2025-10-09 00:00:00,315.54,Completed
50011,1006,2025-05-25 00:00:00,104.15,Completed
50012,1006,2025-06-06 00:00:00,18.37,Completed
50013,1007,2025-02-22 00:00:00,193.18,Completed
50014,1007,2025-08-08 00:00:00,256.14,Cancelled
50015,1007,2025-10-08 00:00:00,57.45,Completed
50016,1007,2025-10-17 00:00:00,132.14,Cancelled
50017,1007,2025-11-26 00:00:00,112.96,Completed
50018,1007,2025-12-31 00:00:00,56.0,Completed
50019,1008,2025-09-03 00:00:00,42.19,Completed
50020,1008,2025-09-29 00:00:00,557.55,Completed
50021,1008,2025-10-10 00:00:00,490.1,Completed
50022,1008,2025-10-25 00:00:00,233.77,Completed
50023,1008,2025-12-08 00:00:00,550.21,Completed
50024,1009,2025-05-26 00:00:00,87.95,Completed
50025,1010,2025-10-02 00:00:00,214.32,Completed
50026,1010,2025-11-21 00:00:00,139.75,Completed
50027,1011,2025-10-02 00:00:00,33.07,Completed
50028,1012,2025-06-30 00:00:00,171.23,Completed
50029,1012,2025-07-03 00:00:00,105.55,Completed
50030,1013,2025-10-28 00:00:00,92.59,Completed
50031,1013,2025-11-11 00:00:00,531.39,Completed
50032,1013,2025-11-30 00:00:00,192.21,Cancelled
50033,1013,2025-12-22 00:00:00,370.77,Completed
50034,1014,2025-04-03 00:00:00,229.76,Completed
50035,1014,2025-07-04 00:00:00,286.43,Completed
50036,1014,2025-08-07 00:00:00,129.22,Completed
50037,1014,2025-10-10 00:00:00,158.23,Completed
50038,1014,2025-11-27 00:00:00,34.13,Completed
50039,1014,2025-12-04 00:00:00,256.63,Completed
50040,1015,2025-10-11 00:00:00,120.36,Completed
50041,1015,2025-10-20 00:00:00,264.79,Completed
50042,1016,2025-10-02 00:00:00,229.24,Completed
50043,1016,2025-10-08 00:00:00,196.84,Completed
50044,1016,2025-10-25 00:00:00,221.21,Completed
50045,1016,2025-11-12 00:00:00,277.11,Completed
50046,1017,2025-08-12 00:00:00,52.97,Completed
50047,1017,2025-10-17 00:00:00,163.68,Completed
50048,1017,2025-10-20 00:00:00,27.4,Cancelled
50049,1017,2025-11-07 00:00:00,201.46,Completed
50050,1018,2025-07-10 00:00:00,38.18,Completed
50051,1018,2025-09-30 00:00:00,320.22,Completed
50052,1018,2025-10-13 00:00:00,347.46,Completed
50053,1018,2025-10-25 00:00:00,427.99,Completed
50054,1018,2025-11-06 00:00:00,353.36,Completed
50055,1018,2025-11-29 00:00:00,213.98,Completed
50056,1019,2025-10-07 00:00:00,244.44,Completed
50057,1020,2025-10-12 00:00:00,146.6,Completed
50058,1021,2025-09-14 00:00:00,103.69,Completed
50059,1022,2025-05-29 00:00:00,50.47,Completed
50060,1023,2025-03-29 00:00:00,98.3,Completed
50061,1023,2025-04-03 00:00:00,109.83,Completed
50062,1023,2025-04-06 00:00:00,135.7,Completed
